                    ************************************************************************************************
                    *  Z= 40 A= 93: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 93 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  16.00  1.148  6.54E+07 3.67E+07 5.05E+08 1.20E+06 2.28E+06 3.15E+06 3.74E+06 4.03E+06 4.03E+06 3.79E+06 3.37E+06 2.86E+06 2.32E+06 1.80E+06 1.34E+06 9.59E+05 6.60E+05 4.37E+05 2.78E+05 1.71E+05 1.01E+05 5.79E+04 3.19E+04 1.69E+04 8.70E+03 4.31E+03 2.06E+03 9.51E+02 4.24E+02 1.83E+02 7.61E+01 3.06E+01 1.19E+01
  17.00  1.183  1.45E+08 8.00E+07 1.12E+09 2.53E+06 4.82E+06 6.67E+06 7.95E+06 8.60E+06 8.65E+06 8.19E+06 7.35E+06 6.29E+06 5.15E+06 4.04E+06 3.05E+06 2.21E+06 1.54E+06 1.04E+06 6.72E+05 4.20E+05 2.53E+05 1.48E+05 8.30E+04 4.51E+04 2.37E+04 1.20E+04 5.89E+03 2.79E+03 1.28E+03 5.66E+02 2.43E+02 1.01E+02 4.03E+01
  18.00  1.217  3.16E+08 1.70E+08 2.42E+09 5.23E+06 9.98E+06 1.38E+07 1.66E+07 1.80E+07 1.82E+07 1.73E+07 1.57E+07 1.35E+07 1.12E+07 8.86E+06 6.75E+06 4.95E+06 3.50E+06 2.39E+06 1.57E+06 9.97E+05 6.12E+05 3.63E+05 2.08E+05 1.15E+05 6.17E+04 3.20E+04 1.60E+04 7.78E+03 3.66E+03 1.66E+03 7.31E+02 3.11E+02 1.28E+02
  19.00  1.251  6.71E+08 3.56E+08 5.12E+09 1.06E+07 2.03E+07 2.82E+07 3.38E+07 3.69E+07 3.75E+07 3.59E+07 3.27E+07 2.84E+07 2.37E+07 1.90E+07 1.46E+07 1.08E+07 7.74E+06 5.35E+06 3.57E+06 2.30E+06 1.43E+06 8.63E+05 5.03E+05 2.84E+05 1.55E+05 8.19E+04 4.19E+04 2.08E+04 9.98E+03 4.64E+03 2.09E+03 9.14E+02 3.87E+02
  20.00  1.283  1.40E+09 7.29E+08 1.06E+10 2.12E+07 4.05E+07 5.65E+07 6.79E+07 7.44E+07 7.59E+07 7.31E+07 6.69E+07 5.86E+07 4.92E+07 3.97E+07 3.09E+07 2.31E+07 1.67E+07 1.17E+07 7.89E+06 5.15E+06 3.26E+06 1.99E+06 1.18E+06 6.76E+05 3.76E+05 2.02E+05 1.06E+05 5.34E+04 2.62E+04 1.24E+04 5.73E+03 2.56E+03 1.11E+03
  22.50  1.361  1.16E+10 4.08E+09 6.14E+10 1.12E+08 2.14E+08 3.00E+08 3.62E+08 4.00E+08 4.12E+08 4.01E+08 3.73E+08 3.31E+08 2.83E+08 2.32E+08 1.84E+08 1.41E+08 1.05E+08 7.50E+07 5.20E+07 3.50E+07 2.28E+07 1.44E+07 8.83E+06 5.25E+06 3.03E+06 1.70E+06 9.23E+05 4.88E+05 2.50E+05 1.25E+05 6.02E+04 2.83E+04 1.29E+04
  25.00  1.435  6.38E+10 2.09E+10 3.23E+11 5.41E+08 1.04E+09 1.46E+09 1.78E+09 1.97E+09 2.05E+09 2.02E+09 1.89E+09 1.70E+09 1.47E+09 1.23E+09 9.93E+08 7.75E+08 5.86E+08 4.29E+08 3.04E+08 2.10E+08 1.40E+08 9.11E+07 5.75E+07 3.53E+07 2.10E+07 1.22E+07 6.85E+06 3.75E+06 2.00E+06 1.03E+06 5.21E+05 2.56E+05 1.22E+05
  30.00  1.572  2.26E+12 4.39E+11 7.11E+12 1.04E+10 2.00E+10 2.82E+10 3.46E+10 3.89E+10 4.09E+10 4.09E+10 3.90E+10 3.58E+10 3.17E+10 2.72E+10 2.25E+10 1.81E+10 1.41E+10 1.07E+10 7.88E+09 5.64E+09 3.93E+09 2.67E+09 1.76E+09 1.14E+09 7.11E+08 4.35E+08 2.59E+08 1.50E+08 8.49E+07 4.68E+07 2.52E+07 1.32E+07 6.75E+06
  40.00  1.815  1.01E+15 1.01E+14 1.76E+15 2.05E+12 3.98E+12 5.68E+12 7.04E+12 8.02E+12 8.60E+12 8.77E+12 8.59E+12 8.11E+12 7.41E+12 6.56E+12 5.65E+12 4.73E+12 3.86E+12 3.06E+12 2.37E+12 1.80E+12 1.33E+12 9.56E+11 6.73E+11 4.63E+11 3.11E+11 2.05E+11 1.32E+11 8.28E+10 5.09E+10 3.06E+10 1.80E+10 1.04E+10 5.84E+09
  50.00  2.029  1.26E+17 1.25E+16 2.31E+17 2.27E+14 4.42E+14 6.34E+14 7.92E+14 9.12E+14 9.89E+14 1.02E+15 1.02E+15 9.81E+14 9.15E+14 8.29E+14 7.32E+14 6.30E+14 5.30E+14 4.35E+14 3.48E+14 2.73E+14 2.10E+14 1.58E+14 1.16E+14 8.34E+13 5.88E+13 4.07E+13 2.75E+13 1.83E+13 1.19E+13 7.58E+12 4.74E+12 2.91E+12 1.75E+12
